iter	Passed	Remaining
0	65	9703
1	183	13548
2	270	13251
3	393	14374
4	505	14657
5	547	13140
6	650	13289
7	715	12696
8	731	11453
9	827	11580
10	906	11457
11	1010	11625
12	1152	12149
13	1271	12355
14	1320	11887
15	1367	11454
16	1421	11119
17	1508	11060
18	1620	11175
19	1724	11207
20	1826	11218
21	1845	10736
22	1864	10296
23	1890	9924
24	1998	9991
25	2103	10033
26	2161	9848
27	2278	9927
28	2349	9801
29	2456	9827
30	2556	9812
31	2637	9725
32	2742	9723
33	2800	9553
34	2921	9598
35	2959	9372
36	3067	9368
37	3173	9354
38	3262	9286
39	3366	9256
40	3434	9130
41	3475	8935
42	3530	8786
43	3619	8719
44	3703	8642
45	3813	8621
46	3905	8559
47	4019	8540
48	4105	8462
49	4227	8454
50	4286	8320
51	4346	8191
52	4449	8143
53	4531	8056
54	4579	7909
55	4592	7708
56	4703	7674
57	4814	7637
58	4882	7530
59	4996	7494
60	5106	7449
61	5226	7417
62	5340	7374
63	5412	7273
64	5453	7132
65	5563	7080
66	5673	7028
67	5786	6977
68	5840	6856
69	5950	6800
70	6057	6740
71	6118	6627
72	6220	6561
73	6326	6497
74	6351	6351
75	6456	6286
76	6518	6179
77	6625	6116
78	6730	6048
79	6797	5947
80	6839	5825
81	6913	5733
82	6998	5649
83	7117	5592
84	7136	5457
85	7243	5390
86	7349	5321
87	7458	5255
88	7587	5200
89	7644	5096
90	7752	5026
91	7815	4927
92	7954	4875
93	7968	4747
94	8009	4637
95	8118	4566
96	8249	4507
97	8342	4426
98	8459	4357
99	8580	4290
100	8677	4209
101	8749	4117
102	8773	4003
103	8882	3928
104	9001	3857
105	9123	3786
106	9165	3683
107	9279	3608
108	9374	3526
109	9444	3434
110	9555	3357
111	9664	3279
112	9770	3199
113	9894	3124
114	10010	3046
115	10065	2950
116	10143	2861
117	10250	2779
118	10359	2698
119	10432	2608
120	10515	2520
121	10620	2437
122	10729	2355
123	10782	2260
124	10898	2179
125	11016	2098
126	11125	2014
127	11206	1926
128	11314	1841
129	11429	1758
130	11461	1662
131	11578	1578
132	11683	1493
133	11730	1400
134	11838	1315
135	11940	1229
136	12014	1140
137	12124	1054
138	12232	968
139	12342	881
140	12447	794
141	12549	707
142	12655	619
143	12774	532
144	12899	444
145	13030	356
146	13109	267
147	13226	178
148	13335	89
149	13418	0
